scenario_id,scenario,pd_multiplier,lgd_multiplier,ecl,ecl_cr,uplift_vs_base,coverage_pct,gdp_shock_bps,repo_shock_bps,unemployment_shock_bps
BASE,Base,1.0,1.0,14148503.476566795,1.4148503476566796,0.0,0.044524072218483805,0,0,0
MILD,Mild Recession,1.3,1.1,17944867.141467668,1.7944867141467669,0.2683226301063241,0.05647088837919129,-100,25,50
MODERATE,Moderate Slowdown,1.8,1.25,24902336.367660604,2.4902336367660602,0.7600685760797706,0.07836542039085967,-200,50,120
SEVERE,Severe Recession,2.8,1.45,38235728.45823824,3.823572845823824,1.7024574381004658,0.12032441014136387,-350,100,250
CRISIS,Crisis,4.5,1.75,62624100.55251695,6.262410055251695,3.426199608759824,0.19707243103384714,-500,200,400
